{42949925107, 220}
{17180205789, 307}
{60129808743, 203}
{17180270804, 260}
{25769966336, 257}
{17180085765, 457}
{17180205833, 303}
{42949925108, 224}
{25769966337, 254}
{17180270805, 269}
{17180205834, 300}
{60129808744, 208}
{17180085766, 453}
{17180085810, 232}
{25769966338, 253}
{17180205060, 262}
{60129808745, 214}
{17180270806, 270}
{17180085811, 233}
{17180205835, 291}
{25769863422, 216}
{42949925109, 234}
{17180085767, 448}
{17180085812, 234}
{17180205836, 286}
{25769863423, 238}
{25769966339, 251}
{17180205061, 251}
{25769965330, 229}
{60129808746, 219}
{17180270807, 218}
{255464, 213}
{17180205062, 243}
{25769863424, 246}
{17180085813, 236}
{60129808747, 222}
{17180205837, 277}
{60129568222, 249}
{17180205838, 268}
{60129808748, 221}
{255465, 224}
{17180205063, 238}
{25769863425, 252}
{17180085814, 251}
{17180205064, 234}
{255466, 226}
{25769863426, 256}
{60129808749, 219}
{17180085815, 298}
{60129568223, 248}
{17180205839, 260}
{51539650741, 201}
{17180085816, 315}
{17180205065, 221}
{8590367300, 207}
{255467, 229}
{25769863427, 259}
{8590367301, 211}
{255468, 235}
{25770143230, 209}
{25769863428, 262}
{17180205066, 213}
{17180085817, 307}
{25769913559, 235}
{255469, 234}
{25769966227, 204}
{8590367302, 218}
{25770143231, 209}
{17180085818, 325}
{25769863429, 264}
{17180085819, 339}
{25769966228, 209}
{8590367303, 225}
{25770143232, 209}
{8590367304, 221}
{25769966229, 214}
{25770143233, 209}
{42949714725, 207}
{379140, 212}
{34360126650, 461}
{25770143234, 209}
{379141, 202}
{34360126651, 440}
{42949714726, 203}
{17180182779, 215}
{34360024582, 201}
{25770143235, 209}
{34360126652, 426}
{25770143236, 209}
{42949714727, 201}
{379142, 206}
{34360024583, 202}
{51539700761, 201}
{51539700762, 202}
{34360126653, 409}
{25770143237, 209}
{51539700763, 201}
{51539744521, 202}
{34360126654, 396}
{25770143238, 209}
{51539744522, 203}
{34360126655, 388}
{51539700764, 206}
{25770143239, 209}
{34360126656, 373}
{51539700765, 205}
{51539744523, 209}
{34360024470, 322}
{318180, 290}
{34360126657, 350}
{51539744524, 211}
{25769966290, 514}
